hour,day_of_week,traffic_density,rainfall,visibility,speed_avg,junction_score,accident_risk
6,1,62,94,55,115,8,0
19,1,81,88,28,94,5,1
14,1,13,79,97,116,2,1
10,3,14,62,93,21,7,1
7,2,58,41,56,74,7,1
20,1,39,63,61,34,3,0
6,6,81,53,33,83,1,0
18,1,72,77,26,119,4,0
22,5,56,76,98,88,2,0
10,0,35,70,55,34,4,0
10,5,66,75,73,62,8,0
23,5,46,36,37,93,2,1
20,0,16,3,59,36,1,0
3,6,49,1,73,117,3,0
7,2,48,98,37,43,7,1
23,5,71,43,95,93,6,1
2,2,87,66,65,49,6,0
21,5,62,67,68,86,7,0
20,4,13,75,14,70,8,1
1,0,91,82,63,79,3,0
23,5,34,73,53,22,3,1
11,4,16,61,51,24,8,1
5,3,37,0,81,47,7,1
1,4,78,16,66,97,5,0
20,1,76,15,56,30,4,0
0,5,29,8,85,91,6,1
11,4,92,52,34,91,9,1
21,2,20,72,53,95,6,0
11,3,76,58,24,34,8,0
16,6,96,8,60,102,1,0
9,5,16,11,62,67,6,1
15,1,32,40,43,65,2,1
14,6,70,14,86,47,3,1
14,4,80,65,17,26,6,0
18,6,43,74,86,90,2,1
11,6,28,10,79,113,4,1
22,3,67,7,30,101,6,1
19,6,18,54,16,107,5,0
2,6,57,95,99,25,6,1
4,5,91,5,88,77,6,1
18,3,50,52,65,87,8,0
6,1,57,19,58,74,9,1
20,4,54,38,51,86,5,0
8,3,34,98,32,68,6,0
6,3,87,71,61,70,6,1
17,0,34,33,88,78,6,0
3,3,28,56,62,25,2,1
13,0,48,18,25,109,4,0
17,4,88,70,46,70,1,1
8,6,89,30,27,57,1,0
20,5,36,81,29,30,1,0
1,5,83,39,55,71,7,0
19,4,72,13,11,112,1,1
14,4,77,99,96,39,6,1
6,2,28,80,72,29,2,1
11,6,37,36,12,45,6,0
7,4,94,43,55,67,6,0
14,3,87,8,58,110,3,1
2,5,42,57,10,33,8,1
13,1,19,19,31,119,4,0
16,5,92,91,23,78,7,0
3,0,39,49,94,31,4,0
17,5,31,19,54,42,1,1
7,2,12,35,15,104,6,0
3,6,91,26,74,91,5,1
1,4,84,71,30,58,9,0
5,6,57,31,13,28,9,1
21,4,11,0,12,107,8,0
9,5,85,16,39,114,7,0
3,1,63,8,40,44,2,1
21,1,15,83,43,36,8,0
17,2,49,44,92,61,3,0
11,0,11,95,29,48,6,0
1,5,82,65,96,79,7,1
9,4,11,31,63,86,6,0
3,5,83,44,34,104,5,1
13,2,64,8,24,76,4,0
15,3,81,29,47,91,2,0
